,roi,slice,numPixels,subject,session,imagedRegion,fitModel,groupName,imagedRegionType,T2m_mean,T2m_std,Am100_mean,Am100_std,Af100_mean,Af100_std,T2fl_mean,T2fl_std,T2fs_mean,T2fs_std,T1f_mean,T1f_std,T1m_mean,T1m_std,Af_mean,Af_std,Am_mean,Am_std,cl_mean,cl_std,cs_mean,cs_std,B1_mean,B1_std,echo_mean,echo_std,rss_mean,rss_std,rchi_mean,rchi_std,AIC_mean,AIC_std,BIC_mean,BIC_std,cl100_mean,cl100_std,cs100_mean,cs100_std
0,VL,2,2512,HC-001,sess-1,upperleg,Azzabou,healthyVolunteers,muscle,34.723339617270355,1.0789760373192263,95.33202101815296,3.5632524381180963,4.667978981847052,3.563252438118096,250.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.06810242360158912,0.05084106155698477,1.4001546849642852,0.06731908590989374,0.5499999999999998,2.22088814901562e-16,0.4500000000000001,1.11044407450781e-16,1.0,0.0,10.0,0.0,0.0011349332483267902,0.0002775843083140028,9.457777069389919e-05,2.3132025692833564e-05,-136.82005161728378,3.906155471848468,-134.69590101397714,3.9061554718484683,55.000000000000014,7.106842076849983e-15,44.99999999999999,0.0
1,VL,3,2791,HC-001,sess-1,upperleg,Azzabou,healthyVolunteers,muscle,35.25056733158148,1.1382155286144078,95.95731787207221,2.864276734279746,4.042682127927783,2.864276734279746,250.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.05867357461504837,0.041194833379386,1.3975587070674351,0.054447790993858686,0.5499999999999999,1.1104219714997263e-16,0.4500000000000001,1.1104219714997263e-16,1.0,0.0,10.0,0.0,0.0011361892175107227,0.00027351859595740755,9.468243479256023e-05,2.2793216329783958e-05,-136.7867808321747,3.831333119097877,-134.66263022886812,3.831333119097878,55.00000000000001,0.0,44.99999999999999,0.0
2,VL,4,2984,HC-001,sess-1,upperleg,Azzabou,healthyVolunteers,muscle,35.533275760391305,1.1845275977552436,95.5957343477944,2.93223704144162,4.404265652205589,2.93223704144162,250.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.0639149003383995,0.041697537689408835,1.3921982700772908,0.05561630386304617,0.5499999999999999,1.1104091007221014e-16,0.45000000000000007,5.552045503610507e-17,1.0,0.0,10.0,0.0,0.0011900478881712244,0.00029208259201700203,9.917065734760204e-05,2.4340216001416834e-05,-136.0919260793976,3.7932542897575345,-133.967775476091,3.7932542897575354,55.00000000000001,0.0,44.99999999999999,0.0
3,BL,2,866,HC-001,sess-1,upperleg,Azzabou,healthyVolunteers,muscle,34.82448369167668,0.7944014564799544,94.57409538083688,2.473733213151845,5.425904619163115,2.473733213151845,250.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.07920624689474615,0.03515393432069638,1.3846559284398587,0.04964729459837215,0.5499999999999999,1.110864586669238e-16,0.45000000000000007,5.55432293334619e-17,1.0,0.0,10.0,0.0,0.0009296365420280877,0.0002558715287731974,7.746971183567398e-05,2.132262739776645e-05,-139.98563369304853,4.6541805552646665,-137.8614830897419,4.6541805552646665,55.00000000000001,0.0,44.99999999999999,0.0
4,BL,3,1392,HC-001,sess-1,upperleg,Azzabou,healthyVolunteers,muscle,35.22727331692784,1.2014718052607969,94.33188141238,3.6856415352130685,5.668118587619987,3.6856415352130685,250.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.08142399621645183,0.050926826603074946,1.3652497919777784,0.07090481953188521,0.5499999999999999,1.1106220266235277e-16,0.45000000000000007,5.553110133117639e-17,1.0,0.0,10.0,0.0,0.0009663406957292355,0.00025345109993993477,8.052839131076962e-05,2.1120924994994565e-05,-139.25931736736283,3.9283141295341153,-137.1351667640562,3.9283141295341153,55.00000000000001,0.0,44.99999999999999,0.0
5,BL,4,1601,HC-001,sess-1,upperleg,Azzabou,healthyVolunteers,muscle,35.63022362572281,1.45820329020499,93.03646434847602,4.828337173696452,6.963535651523986,4.828337173696452,250.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.09978966644261622,0.06625979993193203,1.347621451468634,0.09157954629702465,0.5499999999999998,2.221139830254355e-16,0.4500000000000002,1.665854872690766e-16,1.0,0.0,10.0,0.0,0.0012325038407702002,0.00028799553333329136,0.0001027086533975167,2.3999627777774282e-05,-135.521940626117,3.603389281113448,-133.39779002281034,3.60338928111345,55.00000000000001,0.0,44.99999999999999,0.0
